name,dl1.accesses,dl1.hits,dl1.inv_rate,dl1.invalidations,dl1.miss_rate,dl1.misses,dl1.repl_rate,dl1.replacements,dl1.wb_rate,dl1.writebacks,il1.accesses,il1.hits,il1.inv_rate,il1.invalidations,il1.miss_rate,il1.misses,il1.repl_rate,il1.replacements,il1.wb_rate,il1.writebacks
resultado_amp_32_32_2_l,168593037,156484129,0.0000,0,0.0718,12108908,0.0718,12108844,0.0256,4314521,413322591,378715962,0.0000,0,0.0837,34606629,0.0837,34606565,0.0000,0
resultado_amp_32_32_2_r,168593037,155385232,0.0000,0,0.0783,13207805,0.0783,13207741,0.0277,4663112,413322591,379250379,0.0000,0,0.0824,34072212,0.0824,34072148,0.0000,0
resultado_amp_32_64_1_f,168593037,152170683,0.0000,0,0.0974,16422354,0.0974,16422322,0.0317,5339428,413322591,392903398,0.0000,0,0.0494,20419193,0.0494,20419161,0.0000,0
resultado_amp_32_64_1_l,168593037,152170683,0.0000,0,0.0974,16422354,0.0974,16422322,0.0317,5339428,413322591,392903398,0.0000,0,0.0494,20419193,0.0494,20419161,0.0000,0
resultado_amp_32_64_1_r,168593037,152170683,0.0000,0,0.0974,16422354,0.0974,16422322,0.0317,5339428,413322591,392903398,0.0000,0,0.0494,20419193,0.0494,20419161,0.0000,0
resultado_amp_4_128_4_f,168593037,162013822,0.0000,0,0.0390,6579215,0.0390,6579199,0.0169,2854814,413322591,404243819,0.0000,0,0.0220,9078772,0.0220,9078756,0.0000,0
resultado_amp_4_128_4_l,168593037,162761589,0.0000,0,0.0346,5831448,0.0346,5831432,0.0145,2441228,413322591,404253625,0.0000,0,0.0219,9068966,0.0219,9068950,0.0000,0
resultado_amp_4_128_4_r,168593037,161135408,0.0000,0,0.0442,7457629,0.0442,7457613,0.0188,3163593,413322591,404282922,0.0000,0,0.0219,9039669,0.0219,9039653,0.0000,0
resultado_amp_4_256_2_f,168593037,158130503,0.0000,0,0.0621,10462534,0.0621,10462526,0.0227,3824024,413322591,408484799,0.0000,0,0.0117,4837792,0.0117,4837784,0.0000,0
resultado_amp_4_256_2_l,168593037,159034665,0.0000,0,0.0567,9558372,0.0567,9558364,0.0190,3202967,413322591,408475603,0.0000,0,0.0117,4846988,0.0117,4846980,0.0000,0
resultado_amp_4_256_2_r,168593037,157985673,0.0000,0,0.0629,10607364,0.0629,10607356,0.0226,3818196,413322591,408483916,0.0000,0,0.0117,4838675,0.0117,4838667,0.0000,0
resultado_amp_4_32_16_f,168593037,156264103,0.0000,0,0.0731,12328934,0.0731,12328870,0.0262,4409271,413322591,378738737,0.0000,0,0.0837,34583854,0.0837,34583790,0.0000,0
resultado_amp_4_32_16_l,168593037,157045268,0.0000,0,0.0685,11547769,0.0685,11547705,0.0238,4006137,413322591,378750339,0.0000,0,0.0836,34572252,0.0836,34572188,0.0000,0
resultado_amp_4_32_16_r,168593037,155564861,0.0000,0,0.0773,13028176,0.0773,13028112,0.0272,4584568,413322591,379181272,0.0000,0,0.0826,34141319,0.0826,34141255,0.0000,0
resultado_amp_4_512_1_f,168593037,122485519,0.0000,0,0.2735,46107518,0.2735,46107514,0.0714,12029631,413322591,407396917,0.0000,0,0.0143,5925674,0.0143,5925670,0.0000,0
resultado_amp_4_512_1_l,168593037,122485519,0.0000,0,0.2735,46107518,0.2735,46107514,0.0714,12029631,413322591,407396917,0.0000,0,0.0143,5925674,0.0143,5925670,0.0000,0
resultado_amp_4_512_1_r,168593037,122485519,0.0000,0,0.2735,46107518,0.2735,46107514,0.0714,12029631,413322591,407396917,0.0000,0,0.0143,5925674,0.0143,5925670,0.0000,0
resultado_amp_4_64_8_f,168593037,159409623,0.0000,0,0.0545,9183414,0.0545,9183382,0.0201,3394159,413322591,395754583,0.0000,0,0.0425,17568008,0.0425,17567976,0.0000,0
resultado_amp_4_64_8_l,168593037,160317099,0.0000,0,0.0491,8275938,0.0491,8275906,0.0176,2960378,413322591,395747353,0.0000,0,0.0425,17575238,0.0425,17575206,0.0000,0
resultado_amp_4_64_8_r,168593037,158729279,0.0000,0,0.0585,9863758,0.0585,9863726,0.0215,3620093,413322591,395899598,0.0000,0,0.0422,17422993,0.0422,17422961,0.0000,0
resultado_amp_64_32_1_f,168593037,151816087,0.0000,0,0.0995,16776950,0.0995,16776886,0.0349,5884115,413322591,375227218,0.0000,0,0.0922,38095373,0.0922,38095309,0.0000,0
resultado_amp_64_32_1_l,168593037,151816087,0.0000,0,0.0995,16776950,0.0995,16776886,0.0349,5884115,413322591,375227218,0.0000,0,0.0922,38095373,0.0922,38095309,0.0000,0
resultado_amp_64_32_1_r,168593037,151816087,0.0000,0,0.0995,16776950,0.0995,16776886,0.0349,5884115,413322591,375227218,0.0000,0,0.0922,38095373,0.0922,38095309,0.0000,0
resultado_amp_8_128_2_f,168593037,160691163,0.0000,0,0.0469,7901874,0.0469,7901858,0.0192,3229792,413322591,404221407,0.0000,0,0.0220,9101184,0.0220,9101168,0.0000,0
resultado_amp_8_128_2_l,168593037,161540162,0.0000,0,0.0418,7052875,0.0418,7052859,0.0168,2832129,413322591,404224092,0.0000,0,0.0220,9098499,0.0220,9098483,0.0000,0
resultado_amp_8_128_2_r,168593037,160144638,0.0000,0,0.0501,8448399,0.0501,8448383,0.0200,3374115,413322591,404296698,0.0000,0,0.0218,9025893,0.0218,9025877,0.0000,0
resultado_amp_8_256_1_f,168593037,138600010,0.0000,0,0.1779,29993027,0.1779,29993019,0.0490,8253700,413322591,406756465,0.0000,0,0.0159,6566126,0.0159,6566118,0.0000,0
resultado_amp_8_256_1_l,168593037,138600010,0.0000,0,0.1779,29993027,0.1779,29993019,0.0490,8253700,413322591,406756465,0.0000,0,0.0159,6566126,0.0159,6566118,0.0000,0
resultado_amp_8_256_1_r,168593037,138600010,0.0000,0,0.1779,29993027,0.1779,29993019,0.0490,8253700,413322591,406756465,0.0000,0,0.0159,6566126,0.0159,6566118,0.0000,0
resultado_amp_8_32_8_f,168593037,156210798,0.0000,0,0.0734,12382239,0.0734,12382175,0.0261,4404987,413322591,378780495,0.0000,0,0.0836,34542096,0.0836,34542032,0.0000,0
resultado_amp_8_32_8_l,168593037,157034633,0.0000,0,0.0686,11558404,0.0686,11558340,0.0238,4005850,413322591,378774796,0.0000,0,0.0836,34547795,0.0836,34547731,0.0000,0
resultado_amp_8_32_8_r,168593037,155569378,0.0000,0,0.0772,13023659,0.0772,13023595,0.0272,4577805,413322591,379239721,0.0000,0,0.0825,34082870,0.0825,34082806,0.0000,0
resultado_amp_8_64_4_f,168593037,159435061,0.0000,0,0.0543,9157976,0.0543,9157944,0.0207,3496632,413322591,395741743,0.0000,0,0.0425,17580848,0.0425,17580816,0.0000,0
resultado_amp_8_64_4_l,168593037,160163050,0.0000,0,0.0500,8429987,0.0500,8429955,0.0184,3107013,413322591,395754979,0.0000,0,0.0425,17567612,0.0425,17567580,0.0000,0
resultado_amp_8_64_4_r,168593037,158579425,0.0000,0,0.0594,10013612,0.0594,10013580,0.0220,3712507,413322591,395914960,0.0000,0,0.0421,17407631,0.0421,17407599,0.0000,0
