name,dl1.accesses,dl1.hits,dl1.inv_rate,dl1.invalidations,dl1.miss_rate,dl1.misses,dl1.repl_rate,dl1.replacements,dl1.wb_rate,dl1.writebacks,il1.accesses,il1.hits,il1.inv_rate,il1.invalidations,il1.miss_rate,il1.misses,il1.repl_rate,il1.replacements,il1.wb_rate,il1.writebacks
resultado_mm_2_128_8_l,1041223,909785,0.0000,0,0.1262,131438,0.1262,131422,0.0002,245,7697007,7696693,0.0000,0,0.0000,314,0.0000,298,0.0000,0
resultado_mm_2_128_8_r,1041223,885664,0.0000,0,0.1494,155559,0.1494,155543,0.0092,9563,7697007,7696685,0.0000,0,0.0000,322,0.0000,306,0.0000,0
resultado_mm_2_256_4_f,1041223,885052,0.0000,0,0.1500,156171,0.1500,156163,0.0184,19111,7697007,7696782,0.0000,0,0.0000,225,0.0000,217,0.0000,0
resultado_mm_2_256_4_l,1041223,939277,0.0000,0,0.0979,101946,0.0979,101938,0.0001,130,7697007,7696784,0.0000,0,0.0000,223,0.0000,215,0.0000,0
resultado_mm_2_256_4_r,1041223,878988,0.0000,0,0.1558,162235,0.1558,162227,0.0191,19873,7697007,7696769,0.0000,0,0.0000,238,0.0000,230,0.0000,0
resultado_mm_2_32_32_f,1041223,1003631,0.0000,0,0.0361,37592,0.0360,37528,0.0013,1311,7697007,7696177,0.0000,0,0.0001,830,0.0001,766,0.0000,0
resultado_mm_2_32_32_l,1041223,1023874,0.0000,0,0.0167,17349,0.0166,17285,0.0009,960,7697007,7696178,0.0000,0,0.0001,829,0.0001,765,0.0000,0
resultado_mm_2_32_32_r,1041223,983134,0.0000,0,0.0558,58089,0.0557,58025,0.0018,1870,7697007,7696214,0.0000,0,0.0001,793,0.0001,729,0.0000,0
resultado_mm_2_512_2_f,1041223,811660,0.0000,0,0.2205,229563,0.2205,229559,0.0485,50467,7697007,7696827,0.0000,0,0.0000,180,0.0000,176,0.0000,0
resultado_mm_2_512_2_l,1041223,803398,0.0000,0,0.2284,237825,0.2284,237821,0.0432,44944,7697007,7696828,0.0000,0,0.0000,179,0.0000,175,0.0000,0
resultado_mm_2_512_2_r,1041223,825841,0.0000,0,0.2069,215382,0.2069,215378,0.0422,43942,7697007,7696815,0.0000,0,0.0000,192,0.0000,188,0.0000,0
resultado_mm_2_64_16_f,1041223,892677,0.0000,0,0.1427,148546,0.1426,148514,0.0047,4881,7697007,7696504,0.0000,0,0.0001,503,0.0001,471,0.0000,0
resultado_mm_2_64_16_l,1041223,905766,0.0000,0,0.1301,135457,0.1301,135425,0.0005,484,7697007,7696505,0.0000,0,0.0001,502,0.0001,470,0.0000,0
resultado_mm_2_64_16_r,1041223,920294,0.0000,0,0.1161,120929,0.1161,120897,0.0041,4269,7697007,7696496,0.0000,0,0.0001,511,0.0001,479,0.0000,0
resultado_mm_32_32_2_f,1041223,978170,0.0000,0,0.0606,63053,0.0605,62989,0.0022,2246,7697007,7696216,0.0000,0,0.0001,791,0.0001,727,0.0000,0
resultado_mm_32_32_2_l,1041223,990438,0.0000,0,0.0488,50785,0.0487,50721,0.0012,1202,7697007,7696216,0.0000,0,0.0001,791,0.0001,727,0.0000,0
resultado_mm_32_32_2_r,1041223,983822,0.0000,0,0.0551,57401,0.0551,57337,0.0021,2172,7697007,7696204,0.0000,0,0.0001,803,0.0001,739,0.0000,0
resultado_mm_32_64_1_f,1041223,896283,0.0000,0,0.1392,144940,0.1392,144908,0.0123,12834,7697007,7696512,0.0000,0,0.0001,495,0.0001,463,0.0000,0
resultado_mm_32_64_1_l,1041223,896283,0.0000,0,0.1392,144940,0.1392,144908,0.0123,12834,7697007,7696512,0.0000,0,0.0001,495,0.0001,463,0.0000,0
